数据统计日,仪表数量,该运维内容对应次数,单位该运维内容对应次数
2023-06-14,1018,8,0.007858546168958742
2023-06-15,0,0,0.0
2023-06-16,0,0,0.0
2023-06-17,0,0,0.0
2023-06-18,0,0,0.0
2023-06-19,0,0,0.0
2023-06-20,0,0,0.0
2023-06-21,930,7,0.007526881720430108
2023-06-22,0,0,0.0
2023-06-23,0,0,0.0
2023-06-24,0,0,0.0
2023-06-25,0,0,0.0
2023-06-26,0,0,0.0
2023-06-27,0,0,0.0
2023-06-28,0,0,0.0
2023-06-29,0,0,0.0
2023-06-30,0,0,0.0
2023-07-01,0,0,0.0
2023-07-02,0,0,0.0
2023-07-03,826,2,0.002421307506053269
2023-07-04,0,0,0.0
2023-07-05,0,0,0.0
2023-07-06,513,3,0.005847953216374269
2023-07-07,0,0,0.0
2023-07-08,0,0,0.0
2023-07-09,0,0,0.0
2023-07-10,0,0,0.0
2023-07-11,0,0,0.0
2023-07-12,0,0,0.0
2023-07-13,0,0,0.0
2023-07-14,0,0,0.0
2023-07-15,0,0,0.0
2023-07-16,0,0,0.0
2023-07-17,0,0,0.0
2023-07-18,0,0,0.0
2023-07-19,0,0,0.0
2023-07-20,0,0,0.0
2023-07-21,0,0,0.0
2023-07-22,0,0,0.0
2023-07-23,0,0,0.0
2023-07-24,0,0,0.0
2023-07-25,0,0,0.0
2023-07-26,0,0,0.0
2023-07-27,0,0,0.0
2023-07-28,0,0,0.0
2023-07-29,0,0,0.0
2023-07-30,0,0,0.0
2023-07-31,0,0,0.0
2023-08-01,0,0,0.0
2023-08-02,0,0,0.0
2023-08-03,0,0,0.0
2023-08-04,948,22,0.023206751054852322
2023-08-05,0,0,0.0
2023-08-06,0,0,0.0
2023-08-07,0,0,0.0
2023-08-08,0,0,0.0
2023-08-09,0,0,0.0
2023-08-10,0,0,0.0
2023-08-11,0,0,0.0
2023-08-12,0,0,0.0
2023-08-13,0,0,0.0
2023-08-14,0,0,0.0
2023-08-15,0,0,0.0
2023-08-16,0,0,0.0
2023-08-17,0,0,0.0
2023-08-18,0,0,0.0
2023-08-19,0,0,0.0
2023-08-20,0,0,0.0
2023-08-21,0,0,0.0
2023-08-22,0,0,0.0
2023-08-23,0,0,0.0
2023-08-24,0,0,0.0
2023-08-25,0,0,0.0
2023-08-26,0,0,0.0
2023-08-27,0,0,0.0
2023-08-28,0,0,0.0
2023-08-29,0,0,0.0
2023-08-30,0,0,0.0
2023-08-31,0,0,0.0
2023-09-01,1043,9,0.00862895493767977
2023-09-02,0,0,0.0
2023-09-03,0,0,0.0
2023-09-04,826,4,0.004842615012106538
2023-09-05,596,14,0.02348993288590604
2023-09-06,0,0,0.0
2023-09-07,0,0,0.0
2023-09-08,0,0,0.0
2023-09-09,0,0,0.0
2023-09-10,0,0,0.0
2023-09-11,0,0,0.0
2023-09-12,0,0,0.0
2023-09-13,0,0,0.0
2023-09-14,0,0,0.0
2023-09-15,0,0,0.0
2023-09-16,0,0,0.0
2023-09-17,0,0,0.0
2023-09-18,0,0,0.0
2023-09-19,0,0,0.0
2023-09-20,0,0,0.0
2023-09-21,0,0,0.0
2023-09-22,0,0,0.0
2023-09-23,0,0,0.0
2023-09-24,0,0,0.0
2023-09-25,0,0,0.0
2023-09-26,0,0,0.0
2023-09-27,0,0,0.0
2023-09-28,0,0,0.0
2023-09-29,0,0,0.0
2023-09-30,0,0,0.0
2023-10-01,0,0,0.0
2023-10-02,0,0,0.0
2023-10-03,0,0,0.0
2023-10-04,0,0,0.0
2023-10-05,0,0,0.0
2023-10-06,0,0,0.0
2023-10-07,0,0,0.0
2023-10-08,0,0,0.0
2023-10-09,826,13,0.015738498789346248
2023-10-10,0,0,0.0
2023-10-11,0,0,0.0
2023-10-12,0,0,0.0
2023-10-13,0,0,0.0
2023-10-14,0,0,0.0
2023-10-15,0,0,0.0
2023-10-16,0,0,0.0
2023-10-17,0,0,0.0
2023-10-18,0,0,0.0
2023-10-19,0,0,0.0
2023-10-20,0,0,0.0
2023-10-21,0,0,0.0
2023-10-22,0,0,0.0
2023-10-23,0,0,0.0
2023-10-24,0,0,0.0
2023-10-25,0,0,0.0
2023-10-26,0,0,0.0
2023-10-27,0,0,0.0
2023-10-28,0,0,0.0
2023-10-29,0,0,0.0
2023-10-30,0,0,0.0
2023-10-31,0,0,0.0
2023-11-01,0,0,0.0
2023-11-02,0,0,0.0
2023-11-03,484,6,0.012396694214876033
2023-11-04,0,0,0.0
2023-11-05,0,0,0.0
2023-11-06,493,4,0.008113590263691683
2023-11-07,620,8,0.012903225806451613
2023-11-08,0,0,0.0
2023-11-09,0,0,0.0
2023-11-10,0,0,0.0
2023-11-11,0,0,0.0
2023-11-12,0,0,0.0
2023-11-13,0,0,0.0
2023-11-14,0,0,0.0
2023-11-15,0,0,0.0
2023-11-16,0,0,0.0
2023-11-17,0,0,0.0
2023-11-18,0,0,0.0
2023-11-19,0,0,0.0
2023-11-20,0,0,0.0
2023-11-21,0,0,0.0
2023-11-22,0,0,0.0
2023-11-23,0,0,0.0
2023-11-24,0,0,0.0
2023-11-25,0,0,0.0
2023-11-26,0,0,0.0
2023-11-27,0,0,0.0
2023-11-28,0,0,0.0
2023-11-29,0,0,0.0
2023-11-30,0,0,0.0
2023-12-01,0,0,0.0
2023-12-02,0,0,0.0
2023-12-03,0,0,0.0
2023-12-04,939,12,0.012779552715654952
2023-12-05,826,10,0.012106537530266344
2023-12-06,930,6,0.0064516129032258064
2023-12-07,0,0,0.0
2023-12-08,0,0,0.0
2023-12-09,435,3,0.006896551724137931
2023-12-10,0,0,0.0
2023-12-11,0,0,0.0
2023-12-12,0,0,0.0
2023-12-13,0,0,0.0
2023-12-14,826,3,0.0036319612590799033
2023-12-15,0,0,0.0
2023-12-16,0,0,0.0
2023-12-17,0,0,0.0
2023-12-18,0,0,0.0
2023-12-19,113,1,0.008849557522123894
2023-12-20,0,0,0.0
2023-12-21,0,0,0.0
2023-12-22,0,0,0.0
2023-12-23,826,6,0.007263922518159807
2023-12-24,0,0,0.0
2023-12-25,0,0,0.0
2023-12-26,0,0,0.0
2023-12-27,0,0,0.0
2023-12-28,0,0,0.0
2023-12-29,0,0,0.0
2023-12-30,0,0,0.0
2023-12-31,0,0,0.0
2024-01-01,0,0,0.0
2024-01-02,479,3,0.006263048016701462
2024-01-03,0,0,0.0
2024-01-04,0,0,0.0
2024-01-05,0,0,0.0
2024-01-06,0,0,0.0
2024-01-07,0,0,0.0
2024-01-08,840,4,0.004761904761904762
2024-01-09,0,0,0.0
2024-01-10,0,0,0.0
2024-01-11,0,0,0.0
2024-01-12,0,0,0.0
2024-01-13,0,0,0.0
2024-01-14,0,0,0.0
2024-01-15,0,0,0.0
2024-01-16,0,0,0.0
2024-01-17,0,0,0.0
2024-01-18,0,0,0.0
2024-01-19,0,0,0.0
2024-01-20,0,0,0.0
2024-01-21,0,0,0.0
2024-01-22,0,0,0.0
2024-01-23,0,0,0.0
2024-01-24,581,8,0.013769363166953529
2024-01-25,826,6,0.007263922518159807
2024-01-26,0,0,0.0
2024-01-27,0,0,0.0
2024-01-28,0,0,0.0
2024-01-29,0,0,0.0
2024-01-30,0,0,0.0
2024-01-31,0,0,0.0
2024-02-01,0,0,0.0
2024-02-02,933,3,0.003215434083601286
2024-02-03,0,0,0.0
2024-02-04,0,0,0.0
2024-02-05,347,1,0.002881844380403458
2024-02-06,0,0,0.0
2024-02-07,0,0,0.0
2024-02-08,451,2,0.004434589800443459
2024-02-09,0,0,0.0
2024-02-10,0,0,0.0
2024-02-11,0,0,0.0
2024-02-12,0,0,0.0
2024-02-13,0,0,0.0
2024-02-14,0,0,0.0
2024-02-15,0,0,0.0
2024-02-16,0,0,0.0
2024-02-17,0,0,0.0
2024-02-18,0,0,0.0
2024-02-19,0,0,0.0
2024-02-20,0,0,0.0
2024-02-21,0,0,0.0
2024-02-22,0,0,0.0
2024-02-23,0,0,0.0
2024-02-24,0,0,0.0
2024-02-25,0,0,0.0
2024-02-26,0,0,0.0
2024-02-27,479,1,0.0020876826722338203
2024-02-28,0,0,0.0
2024-02-29,0,0,0.0
2024-03-01,347,1,0.002881844380403458
